TrustName,Sex_Desc,Age,Catchment,Patients,TrustCode
Manchester University NHS Foundation Trust,Male,00-04,"55,004",34525,R0A
Manchester University NHS Foundation Trust,Male,05-Sep,"63,429",9816,R0A
Manchester University NHS Foundation Trust,Male,Oct-14,"65,372",7880,R0A
Manchester University NHS Foundation Trust,Male,15-19,"48,790",5951,R0A
Manchester University NHS Foundation Trust,Male,20-24,"53,538",5988,R0A
Manchester University NHS Foundation Trust,Male,25-29,"54,013",6896,R0A
Manchester University NHS Foundation Trust,Male,30-34,"49,092",7311,R0A
Manchester University NHS Foundation Trust,Male,35-39,"43,779",7424,R0A
Manchester University NHS Foundation Trust,Male,40-44,"37,689",7400,R0A
Manchester University NHS Foundation Trust,Male,45-49,"36,850",8458,R0A
Manchester University NHS Foundation Trust,Male,50-54,"38,288",10130,R0A
Manchester University NHS Foundation Trust,Male,55-59,"35,430",11945,R0A
Manchester University NHS Foundation Trust,Male,60-64,"30,386",11753,R0A
Manchester University NHS Foundation Trust,Male,65-69,"25,445",11483,R0A
Manchester University NHS Foundation Trust,Male,70-74,"23,586",11855,R0A
Manchester University NHS Foundation Trust,Male,75-79,"15,167",9467,R0A
Manchester University NHS Foundation Trust,Male,80-84,"10,210",7569,R0A
Manchester University NHS Foundation Trust,Male,85-89,"5,103",4601,R0A
Manchester University NHS Foundation Trust,Male,90+,"2,389",2219,R0A
Manchester University NHS Foundation Trust,Female,00-04,"50,669",28987,R0A
Manchester University NHS Foundation Trust,Female,05-Sep,"59,475",7782,R0A
Manchester University NHS Foundation Trust,Female,Oct-14,"58,504",6526,R0A
Manchester University NHS Foundation Trust,Female,15-19,"43,225",7007,R0A
Manchester University NHS Foundation Trust,Female,20-24,"50,710",11434,R0A
Manchester University NHS Foundation Trust,Female,25-29,"53,852",17865,R0A
Manchester University NHS Foundation Trust,Female,30-34,"51,385",21409,R0A
Manchester University NHS Foundation Trust,Female,35-39,"46,512",16957,R0A
Manchester University NHS Foundation Trust,Female,40-44,"37,784",10364,R0A
Manchester University NHS Foundation Trust,Female,45-49,"34,860",9262,R0A
